CODIGO_UBIGEO,DEPARTAMENTO,PROVINCIA,DISTRITO,CODIGO_CIUDAD,SERVICIO,AEREO PROPUESTO,TERRESTRE PROPUESTO,A TRAVÉS DE,OBSERVACION
21805,ANCASH,SANTA,MORO,PECHM,DIST. NACIONAL,-,2,LIM - AYP,ALEJADO
21308,ANCASH,MARISCAL LUZURIAGA,MUSGA,PEANC,DIST. NACIONAL,-,3,LIM - HYO,ALEJADO
21806,ANCASH,SANTA,NEPEÑA,PECHM,DIST. NACIONAL,-,2,LIM – NAZ,URBANO
21809,ANCASH,SANTA,NUEVO CHIMBOTE,PECHM,DIST. NACIONAL,-,2,LIM - HYO,ALEJADO
21401,ANCASH,OCROS,OCROS,PEANC,DIST. NACIONAL,-,3,LIM - HNV,ALEJADO
20108,ANCASH,HUARAZ,OLLEROS,PEANC,DIST. NACIONAL,-,2,LIM - JAE - CHA,ALEJADO
20513,ANCASH,BOLOGNESI,PACLLON,PEANC,DIST. NACIONAL,-,3,LIM - TPP,ALEJADO
21508,ANCASH,PALLASCA,PALLASCA,PEANC,DIST. NACIONAL,-,3,LIM - CEP,ALEJADO
21206,ANCASH,HUAYLAS,PAMPAROMAS,PEANC,DIST. NACIONAL,-,2,LIM - HUU,ALEJADO
20109,ANCASH,HUARAZ,PAMPAS,PEHRZ,DIST. NACIONAL,-,2,LIM - CHM,ALEJADO
21509,ANCASH,PALLASCA,PAMPAS,PEANC,DIST. NACIONAL,-,3,LIM - HRZ,ALEJADO
21707,ANCASH,RECUAY,PAMPAS CHICO,PEANC,DIST. NACIONAL,-,2,LIM - HNV,ALEJADO
21708,ANCASH,RECUAY,PARARIN,PEANC,DIST. NACIONAL,-,2,LIM - AYP,ALEJADO
20110,ANCASH,HUARAZ,PARIACOTO,PEANC,DIST. NACIONAL,-,2,LIM - TPP,ALEJADO
20607,ANCASH,CARHUAZ,PARIAHUANCA,PEANC,DIST. NACIONAL,-,3,LIM - HRZ,ALEJADO
21603,ANCASH,POMABAMBA,PAROBAMBA,PEANC,DIST. NACIONAL,-,3,LIM - PIU - TAL,ALEJADO
21010,ANCASH,HUARI,PAUCAS,PEANC,DIST. NACIONAL,-,2,LIM - CEP,ALEJADO
20111,ANCASH,HUARAZ,PIRA,PEANC,DIST. NACIONAL,-,3,LIM - CJA,ALEJADO
21301,ANCASH,MARISCAL LUZURIAGA,PISCOBAMBA,PEANC,DIST. NACIONAL,-,3,LIM - PSC,URBANO
21601,ANCASH,POMABAMBA,POMABAMBA,PEANC,DIST. NACIONAL,-,3,LIM - TGI,ALEJADO
21011,ANCASH,HUARI,PONTO,PEANC,DIST. NACIONAL,-,2,LIM - JUL,ALEJADO
21207,ANCASH,HUAYLAS,PUEBLO LIBRE,PEANC,DIST. NACIONAL,-,3,LIM - CUZ,ALEJADO
21907,ANCASH,SIHUAS,QUICHES,PEANC,DIST. NACIONAL,-,3,LIM - AQP,ALEJADO
22005,ANCASH,YUNGAY,QUILLO,PEANC,DIST. NACIONAL,-,2,LIM - HYO,ALEJADO
21604,ANCASH,POMABAMBA,QUINUABAMBA,PEANC,DIST. NACIONAL,-,3,LIM - AYP,ALEJADO
21908,ANCASH,SIHUAS,RAGASH,PEANC,DIST. NACIONAL,-,3,LIM - HRZ,ALEJADO
21012,ANCASH,HUARI,RAHUAPAMPA,PEANC,DIST. NACIONAL,-,2,LIM - HRZ,ALEJADO
